Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,222.529999,223.000000,214.809998,217.690002,213.342026,37130100
2021-01-05,217.259995,218.520004,215.699997,217.899994,213.547821,23823000
2021-01-06,212.169998,216.490005,211.940002,212.250000,208.010666,35930700
2021-01-07,214.039993,219.339996,213.710007,218.289993,213.930023,27694500
2021-01-08,218.679993,220.580002,217.029999,219.619995,215.233475,22956200
2021-01-11,218.470001,218.910004,216.729996,217.490005,213.145996,23031300
2021-01-12,216.500000,217.100006,213.320007,214.929993,210.637115,23249300
2021-01-13,214.020004,216.759995,213.929993,216.339996,212.018967,20087100
2021-01-14,215.910004,217.460007,212.740005,213.020004,208.765274,29480800
2021-01-15,213.520004,214.509995,212.029999,212.649994,208.402664,31746500
2021-01-19,213.750000,216.979996,212.630005,216.440002,212.116974,30480900
2021-01-20,217.699997,225.789993,217.289993,224.339996,219.859177,37777300
2021-01-21,224.699997,226.300003,222.419998,224.970001,220.476608,30709400
2021-01-22,227.080002,230.070007,225.800003,225.949997,221.437012,30172700
2021-01-25,229.119995,229.779999,224.220001,229.529999,224.945496,33152100
2021-01-26,231.860001,234.179993,230.080002,232.330002,227.689606,49169600
2021-01-27,238.000000,240.440002,230.139999,232.899994,228.248199,69870600
2021-01-28,235.610001,242.639999,235.089996,238.929993,234.157761,49111200
2021-01-29,235.990005,238.020004,231.350006,231.960007,227.327011,42503100
2021-02-01,235.059998,242.500000,232.429993,239.649994,234.863403,33314200
2021-02-02,241.300003,242.309998,238.690002,239.509995,234.726196,25916300
2021-02-03,239.570007,245.089996,239.259995,243.000000,238.146500,27158100
2021-02-04,242.660004,243.240005,240.369995,242.009995,237.176254,25296100
2021-02-05,242.229996,243.279999,240.419998,242.199997,237.362473,18054800
2021-02-08,243.149994,243.679993,240.809998,242.470001,237.627075,22211900
2021-02-09,241.869995,244.759995,241.380005,243.770004,238.901108,23565000
2021-02-10,245.000000,245.919998,240.889999,242.820007,237.970078,22186700
2021-02-11,244.779999,245.149994,242.149994,244.490005,239.606735,15751100
2021-02-12,243.929993,245.300003,242.729996,244.990005,240.096741,16561100
2021-02-16,245.029999,246.130005,242.919998,243.699997,238.832489,26728500
2021-02-17,241.320007,244.309998,240.940002,244.199997,239.873718,21653500
2021-02-18,241.800003,243.929993,240.860001,243.789993,239.470978,16925600
2021-02-19,243.750000,243.860001,240.179993,240.970001,236.700943,25262600
2021-02-22,237.419998,237.929993,232.399994,234.509995,230.355408,36446900
2021-02-23,230.330002,234.830002,228.729996,233.270004,229.137344,30228700
2021-02-24,230.009995,235.199997,229.000000,234.550003,230.394699,26339700
2021-02-25,232.080002,234.589996,227.880005,228.990005,224.933197,39542200
2021-02-26,231.529999,235.369995,229.539993,232.380005,228.263138,37819200
